Countries fintechs,Country,Year,1A,1B,1C,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,5A,5B,5C,6A,,,,,,,,,,,
0,Egypt,2016,2.513010822,3.439818925,3.292330036,2.135098767,2.609892679,3.875959778,4.372827585,31.7,3.439818925,3.292330036,1.856661771,4.787161104,43.49516174,114.3059858,5.047540952,5.129119207,16.53174462,13.10499954,,,,,,,,,,,
66,India,2016,3.969173622,4.231178954,4.114542485,4.194319513,3.590023929,4.025092342,4.059898498,18,4.231178954,4.114542485,3.578725083,4.347118894,5.522292007,74.48376991,6.428009649,6.475836184,23.2848386,2.765000105,,,,,,,,,,,
5,Indonesia,2016,3.755346929,4.927563191,4.870092473,4.286870359,4.833413911,4.807845137,4.644353805,17.14,4.927563191,4.870092473,3.92397815,4.768983906,34.71722661,126.180597,5.69357701,5.885468832,22.41749493,4.048999786,,,,,,,,,,,
4,"Korea, Rep.",2016,2.573499954,3.981030839,3.880470908,3.703000045,5.808272791,5.641414094,4.495508003,84.33,3.981030839,3.880470908,2.177127062,4.125888836,108.5624713,115.5435591,5.382902637,6.082162466,47.8792109,3.5,,,,,,,,,,,
8,Mexico,2016,2.772947482,4.338182889,3.729689581,2.849211762,3.878442307,4.954325776,5.07676387,44.39,4.338182889,3.729689581,2.417474335,5.484383653,37.48665935,82.54324957,5.543236888,5.97082878,32.62917617,4.809000015,,,,,,,,,,,
1,Philippines,2016,3.133729134,4.982372464,4.827448696,4.470940151,4.492554531,4.601312675,4.78003828,39.69,4.982372464,4.827448696,3.525395635,5.419784584,27.97496528,111.2187234,4.750921606,5.299445784,30.50703163,3.599999905,,,,,,,,,,,
2,Romania,2016,2.372989712,4.08108452,4.155194438,3.322984514,4.779052867,4.648728276,4.747205023,54.08,4.08108452,4.155194438,2.931958726,4.615625979,49.41274023,105.91415,4.359594171,5.196477973,44.75402758,6.802000046,,,,,,,,,,,
9,South Africa,2016,2.962898113,4.90144955,5.310755503,2.248946424,3.197204007,5.34080712,4.503450357,49,6.132150592,5.310755503,3.484413462,6.440740652,46.69968277,149.6818056,4.821056848,5.313017111,30.70840642,24.89800072,,,,,,,,,,,
2,Turkey,2016,2.503521951,5.191768947,4.945685165,3.310891753,4.438128797,5.000385265,4.672114816,51.04,5.191768947,4.945685165,2.870295411,5.327927448,42.67132464,94.7933028,5.335960157,5.640831434,25.72558945,9.880000114,,,,,,,,,,,
3,Ukraine,2016,2.393041682,3.897610056,3.453243182,3.986057591,4.832068515,4.277101326,3.762588263,43.4,3.897610056,3.453243182,2.617612532,2.572078013,7.549151394,144.082159,4.305413156,5.254400742,52.56161029,9.270000458,,,,,,,,,,,
286,United States,2016,4.498048351,6.185997588,5.69872082,4.855179164,5.907074535,6.544355583,4.857783819,87.36,6.185997588,5.69872082,3.929245729,5.551773885,97.89046358,98.4068578,7,6.641744617,13.2507316,6.168000221,,,,,,,,,,,
1,Argentina,2015,1.779793032,3.054536909,2.923875484,2.983357393,4.119794328,3.829136129,3.093156151,59.9,3.054536909,2.923875484,1.728854905,4.574790452,16.20209513,159.0254543,4.890595868,5.207110718,19.81067643,7.643000126,,,,,,,,,,,
0,Bangladesh,2015,2.128774456,4.058515253,3.90174608,3.293149693,3.091901423,4.341082347,3.93968334,6.5,4.058515253,3.90174608,2.44484878,4.234991323,0.3632396552,67.08453366,4.35756167,4.765429328,21.92657951,4.415999889,,,,,,,,,,,
30,Brazil,2015,2.571748382,5.22370364,4.985450284,2.720419415,3.621748663,4.711750371,4.938651445,51.6,5.22370364,4.985450284,2.668874993,6.09283955,51.46066,135.3050481,5.682785835,5.592691869,12.46800858,8.437000275,,,,,,,,,,,
31,Canada,2015,3.627118303,6.148537636,5.826403246,5.245896786,6.247268974,6.195849173,4.602484634,85.8,6.148537636,5.826403246,3.771799566,6.714963864,41.04601306,78.39781723,5.368911038,5.818472507,29.36437694,6.906000137,,,,,,,,,,,
3,Chile,2015,3.311446838,5.544986015,4.866945422,3.69163698,5.051790948,5.716814724,5.297937176,66.5,5.544986015,4.866945422,3.666035656,6.306848818,35.58745128,134.2782809,4.337051085,5.007424174,32.4868325,6.507999897,,,,,,,,,,,
5,Colombia,2015,2.568209587,4.761795647,3.6071985,3.40590798,4.014355754,4.52517037,4.761543161,51.7,4.761795647,3.6071985,2.766149865,5.787238809,7.87238285,104.0845439,4.642974356,4.894094934,16.9135949,8.298999786,,,,,,,,,,,
0,Egypt,2015,2.26448337,3.439818925,3.292330036,2.18704484,2.469366095,3.792049203,4.370104957,49.56,3.439818925,3.292330036,1.856661771,4.18652001,31.13889209,121.507893,4.730513827,4.938600298,17.42110869,13.05200005,,,,,,,,,,,
61,India,2015,3.505207097,4.231178954,4.114542485,4.156626751,3.827565042,4.137836679,4.222817639,15.1,4.231178954,4.114542485,3.578725083,4.276135215,3.247241772,70.78318167,6.211749768,6.410634259,24.8572823,2.782000065,,,,,,,,,,,
4,Indonesia,2015,3.910634503,4.927563191,4.870092473,4.464125,4.896483724,5.154673052,4.911354151,15.82,4.927563191,4.870092473,3.92397815,5.107119857,31.59226929,121.5434067,5.252672184,5.598611429,23.61273205,4.513999939,,,,,,,,,,,
