Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
1,117,Colombia,2013,2.818330261,4.655111813,3.891182774,3.554312562,4.019944289,4.628721663,4.556607078,40.4,4.655111813,3.891182774,3.088770797,5.652708436,3.68217955,98.45142015,4.604605571,4.788666415,8.871999741
3,42,Mexico,2013,2.622914218,4.740545498,4.145192037,3.224360591,3.838049588,5.26363913,5.299890453,36.15,4.740545498,4.145192037,2.632654879,5.766220661,4.609145403,82.37873746,5.475068063,5.881602434,3.420000076
0,1000,Bolivia,2013,3.279973679,3.549890249,3.549281609,3.383853481,3.44110613,3.644960442,3.58137135,30,3.549890249,3.549281609,3.571787789,3.917488166,1.865295257,82.80316785,3.06443305,3.787236046,2.394000053
0,1000,Ecuador,2013,2.611125,3.719372,4.093953,3.51919925,3.48201,4.493404,3.82749,31.4,3.719372,4.093953,2.803195,4.635514,10.31706891,104.5455987,3.740315127,4.377396835,3.082999945
0,1000,Guyana,2013,2.820701375,4.067617459,4.582829118,4.018600336,3.611611234,4.959237432,4.131994461,32,4.067617459,4.582829118,2.691276906,5.651551867,12.21615317,68.61502037,1.789105043,2.738434012,12.28299999
0,1000,Paraguay,2013,2.559904643,4.546641146,4.564940516,2.578487941,2.361943057,4.51821327,3.959957339,23.9,4.546641146,4.564940516,3.242393716,5.682346854,4.476553258,99.40262991,2.982521552,3.49582265,4.385000229
0,1000,Peru,2013,2.930084211,4.620413449,5.026326282,3.189505308,3.669948009,4.863956456,5.045005606,36.5,4.620413449,5.026326282,3.63621596,6.02972369,1.382665069,110.4136635,4.268375834,4.784121216,3.236999989
0,1000,Suriname,2013,2.000493589,3.43448082,3.662969823,3.508113408,2.545178163,4.272594797,3.674724634,32,3.43448082,3.662969823,2.363728994,5.571853411,7.649196251,178.8753331,1.402842385,2.744389067,6.599999905
1,67,Uruguay,2013,2.489117512,4.30512102,4.057017616,4.110632909,6.00133155,4.751544903,5.351602043,51.4,4.30512102,4.057017616,2.616744818,5.633521761,9.008854417,140.7518858,3.092246653,3.566347378,6.443999767
0,1000,Venezuela,2013,2.192624646,3.525665107,3.667320329,3.310467032,3.397664671,4.478888504,3.708041004,40.22,3.525665107,3.667320329,2.510111646,4.633516382,4.18516344,97.77526778,4.360308028,4.928671213,7.539999962
1,163,Argentina,2012,1.909561421,3.566858211,3.324062105,3.365796632,3.257104316,4.758957947,3.936273158,36,3.566858211,3.324062105,1.806078316,4.585195737,31.96928926,141.7882482,4.799817476,5.124462369,9.482999802
10,1000,Brazil,2012,2.801857278,5.619595309,4.450952993,3.005410336,3.769794503,5.390267436,5.082924636,40.65,5.619595309,4.450952993,3.092769584,6.181483985,33.58753805,104.1024405,5.666328608,5.454139864,12.54399967
3,106,Chile,2012,3.1055696,5.865252306,5.366563581,3.356949445,4.810286181,5.970957913,5.184250325,45,5.865252306,5.366563581,3.591282283,6.512041472,38.70332144,116.0021265,4.157145542,4.917449856,7.22300005
1,17,Colombia,2012,2.88268274,4.630634839,4.021310827,3.680464287,4.08770626,4.807618722,4.812826458,36.5,4.630634839,4.021310827,3.209014837,5.620493064,26.92600487,93.75846004,4.564025784,4.670301443,9.093000412
